26/06/2022 15.33.54 PC01 00   (RES_CH ) - Reset chiamata Tgv1
26/06/2022 15.33.59 PC01 00   (SEMIAUT) - Missioni in semiautomatico
26/06/2022 15.34.33 PC01 00   (TGVSPEC) - Close del software
26/06/2022 15.37.40 PC01 00   (TGVSPEC) - Start del software
26/06/2022 15.38.03 PC01 00   (RES_MIS) - Reset missione Tgv1
26/06/2022 15.38.03 PC01 00   (RES_CH ) - Reset chiamata Tgv1
26/06/2022 15.38.06 PC01 00   (EDITTGV) - Modifica dati TGV1
26/06/2022 15.38.12 PC01 00   (SEMIAUT) - Missioni in semiautomatico
26/06/2022 16.49.32 PC01 00   (TGVSPEC) - Start del software
26/06/2022 16.51.46 PC01 00   (RES_MIS) - Reset missione Tgv1
26/06/2022 16.51.46 PC01 00   (RES_CH ) - Reset chiamata Tgv1
26/06/2022 16.51.53 PC01 00   (EDITTGV) - Modifica dati TGV1
26/06/2022 16.52.02 PC01 00   (SEMIAUT) - Missioni in semiautomatico
26/06/2022 16.52.23 PC01 00   (TGVSPEC) - Close del software
26/06/2022 16.54.17 PC01 00   (TGVSPEC) - Start del software
26/06/2022 16.54.38 PC01 00   (RES_MIS) - Reset missione Tgv1
26/06/2022 16.54.38 PC01 00   (RES_CH ) - Reset chiamata Tgv1
26/06/2022 16.54.43 PC01 00   (EDITTGV) - Modifica dati TGV1
26/06/2022 16.55.06 PC01 00   (SEMIAUT) - Missioni in semiautomatico
26/06/2022 16.56.03 PC01 00   (RES_MIS) - Reset missione Tgv1
26/06/2022 16.56.03 PC01 00   (RES_CH ) - Reset chiamata Tgv1
26/06/2022 16.56.12 PC01 00   (SEMIAUT) - Missioni in semiautomatico
26/06/2022 16.56.18 PC01 00   (EDITTGV) - Modifica dati TGV1
26/06/2022 16.56.57 PC01 00   (TGVSPEC) - Start del software
26/06/2022 16.57.25 PC01 00   (SEMIAUT) - Missioni in semiautomatico
26/06/2022 17.01.11 PC01 00   (TGVSPEC) - Start del software
26/06/2022 17.01.32 PC01 00   (RES_MIS) - Reset missione Tgv1
26/06/2022 17.01.32 PC01 00   (RES_CH ) - Reset chiamata Tgv1
26/06/2022 17.01.36 PC01 00   (EDITTGV) - Modifica dati TGV1
26/06/2022 17.01.46 PC01 00   (SEMIAUT) - Missioni in semiautomatico
26/06/2022 17.02.16 PC01 00   (EDITTGV) - Modifica dati TGV1
26/06/2022 17.02.23 PC01 00   (EDITTGV) - Modifica dati TGV1
26/06/2022 17.02.47 PC01 00   (RES_MIS) - Reset missione Tgv1
26/06/2022 17.02.47 PC01 00   (RES_CH ) - Reset chiamata Tgv1
26/06/2022 17.03.11 PC01 00   (EDITTGV) - Modifica dati TGV1
26/06/2022 17.03.15 PC01 00   (TGVSPEC) - Close del software
26/06/2022 17.08.27 PC01 00   (TGVSPEC) - Start del software
26/06/2022 17.09.06 PC01 00   (SEMIAUT) - Missioni in semiautomatico
26/06/2022 17.09.38 PC01 00   (TGVSPEC) - Close del software
27/06/2022 09.07.20 PC01 00   (TGVSPEC) - Start del software
27/06/2022 09.08.35 PC01 00   (TGVSPEC) - Close del software
27/06/2022 09.09.14 PC01 00   (TGVSPEC) - Start del software
27/06/2022 09.10.44 PC01 00   (TGVSPEC) - Close del software
27/06/2022 09.30.27 PC01 00   (TGVSPEC) - Start del software
27/06/2022 09.30.54 PC01 00   (RES_MIS) - Reset missione Tgv1
27/06/2022 09.30.54 PC01 00   (RES_CH ) - Reset chiamata Tgv1
27/06/2022 09.31.08 PC01 00   (TGVSPEC) - Close del software
27/06/2022 09.37.54 PC01 00   (TGVSPEC) - Start del software
27/06/2022 09.38.17 PC01 00   (EDITTGV) - Modifica dati TGV1
27/06/2022 10.09.05 PC01 00   (TGVSPEC) - Start del software
27/06/2022 10.13.32 PC01 00   (TGVSPEC) - Start del software
27/06/2022 10.18.02 PC01 00   (TGVSPEC) - Close del software
27/06/2022 10.40.24 PC01 00   (TGVSPEC) - Start del software
27/06/2022 10.40.48 PC01 00   (EDITTGV) - Modifica dati TGV1
27/06/2022 10.40.52 PC01 00   (COM01  ) - Abilita/Disabilita comunicazione
